model,arm,period_rows,agent_rows,mean_join,api_error_rate,parse_error_rate,r_theta_join,r_attack_join
DeepSeek V4 Flash,coded,250,2500,0.6256,0.0,0.0,-0.8561030121321545,0.9265161220457289
DeepSeek V4 Flash,comm,250,2500,0.5764,0.0,0.0,-0.8618024989534168,0.9106367096651216
DeepSeek V4 Flash,direct,250,2500,0.6788,0.0,0.0,-0.8552111731559516,0.9349642952584878
DeepSeek V4 Flash,flip,250,2500,0.30679999999999996,0.0,0.0,0.8927584704917679,-0.9428417086478416
DeepSeek V4 Flash,pure,250,2500,0.35919999999999996,0.0,0.0,-0.8549153028218792,0.8218306005012221
DeepSeek V4 Flash,scramble,250,2500,0.36719999999999997,0.0,0.0,-0.8623823300354628,0.8378830227849919
DeepSeek V4 Flash,surveillance,250,2500,0.44,0.0,0.0,-0.8347377226843461,0.836401507974593
Qwen3-30B-A3B,coded,250,2500,0.6536000000000001,0.0,0.0,-0.8791492288505113,0.9764858398606798
Qwen3-30B-A3B,comm,250,2500,0.6648,0.0,0.0,-0.8731776373130407,0.9693809378639925
Qwen3-30B-A3B,direct,250,2500,0.6764,0.0,0.0,-0.867319041868229,0.9662292699916031
Qwen3-30B-A3B,flip,250,2500,0.5828,0.0,0.0,0.8532851002183023,-0.8402471644849353
Qwen3-30B-A3B,pure,250,2500,0.6536000000000001,0.0,0.0,-0.8914878840997708,0.9645811174575912
Qwen3-30B-A3B,scramble,250,2500,0.6516,0.0,0.0,-0.8847894112215804,0.9644496977282454
Qwen3-30B-A3B,surveillance,250,2500,0.6246793650793651,0.0096,0.0,-0.8901755598685276,0.9776824784278643
