scope,model,comparison,treatment,control,matched_rows,mean_delta,ci95_low,ci95_high,t_stat,p_value
model,Qwen3-30B-A3B,comm_vs_pure,comm,pure,250,0.011199999999999995,-0.001500776267211448,0.02390077626721144,1.736808243329138,0.08365771457224656
model,DeepSeek V4 Flash,comm_vs_pure,comm,pure,250,0.2172,0.1953292814654738,0.23907071853452622,19.5596412150869,3.0525485711468257e-52
pooled_equal_cell,ALL,comm_vs_pure,comm,pure,500,0.1142,0.09867969195588545,0.12972030804411455,14.456678038415493,8.110435479120306e-40
model,Qwen3-30B-A3B,surveillance_vs_comm,surveillance,comm,250,-0.04012063492063492,-0.052337868675711205,-0.027903401165558627,-6.467836436091496,5.222881944206913e-10
model,DeepSeek V4 Flash,surveillance_vs_comm,surveillance,comm,250,-0.1364,-0.1591952927541191,-0.1136047072458809,-11.785101057655856,9.04002973971436e-26
pooled_equal_cell,ALL,surveillance_vs_comm,surveillance,comm,500,-0.08826031746031747,-0.1018249725428918,-0.07469566237774314,-12.783785412646102,1.4335784295119138e-32
model,Qwen3-30B-A3B,coded_vs_direct,coded,direct,250,-0.022799999999999997,-0.03173112581529034,-0.013868874184709655,-5.0279708864162,9.484707283544416e-07
model,DeepSeek V4 Flash,coded_vs_direct,coded,direct,250,-0.0532,-0.07218235121050388,-0.03421764878949611,-5.519830509746703,8.508802436974052e-08
pooled_equal_cell,ALL,coded_vs_direct,coded,direct,500,-0.038,-0.04853826690772092,-0.027461733092279075,-7.084629523174468,4.774090675159101e-12
model,Qwen3-30B-A3B,flip_vs_pure,flip,pure,250,-0.07080000000000003,-0.15933087906503754,0.01773087906503748,-1.575079923542808,0.11650766395662775
model,DeepSeek V4 Flash,flip_vs_pure,flip,pure,250,-0.052399999999999995,-0.13214983499196173,0.027349834991961745,-1.2940933592496662,0.19683213874531227
pooled_equal_cell,ALL,flip_vs_pure,flip,pure,500,-0.06160000000000001,-0.12097767170900475,-0.0022223282909952582,-2.0382633235935317,0.04205032395455005
model,Qwen3-30B-A3B,scramble_vs_pure,scramble,pure,250,-0.002,-0.008831803173891503,0.004831803173891503,-0.5765789258001913,0.5647447828879819
model,DeepSeek V4 Flash,scramble_vs_pure,scramble,pure,250,0.008000000000000004,-0.008030747188818129,0.024030747188818136,0.9828796347130494,0.3266207275245135
pooled_equal_cell,ALL,scramble_vs_pure,scramble,pure,500,0.003000000000000002,-0.005694046842158775,0.01169404684215878,0.6779567996322772,0.4981133201388849
