theta,fine_coded_replay_qwen30,fine_comm_baseline_qwen30,fine_direct_replay_qwen30,fine_flip_qwen30,fine_pure_qwen30,fine_scramble_qwen30,fine_surv_sender_only_qwen30
-1.5,1.0,1.0,1.0,0.15,1.0,1.0,1.0
-1.25,0.95,1.0,1.0,0.1,0.95,0.95,1.0
-1.0,1.0,1.0,1.0,0.05,0.95,1.0,1.0
-0.75,0.9,0.9,0.95,0.25,0.9,0.8500000000000001,0.9
-0.5,1.0,1.0,1.0,0.25,1.0,1.0,0.95
-0.25,1.0,1.0,1.0,0.6499999999999999,1.0,1.0,1.0
0.0,0.95,0.95,0.95,0.7,0.95,0.95,0.9
0.25,0.55,0.35,0.6499999999999999,0.95,0.45,0.45,0.45
0.5,0.35,0.35,0.35,1.0,0.35,0.35,0.2
0.75,0.05,0.1,0.0,1.0,0.1,0.15000000000000002,0.0
1.0,0.0,0.0,0.0,1.0,0.1,0.15000000000000002,0.05
1.25,0.0,0.0,0.0,1.0,0.1,0.15000000000000002,0.05
1.5,0.0,0.1,0.0,0.95,0.1,0.1,0.0
1.75,0.05,0.05,0.0,1.0,0.30000000000000004,0.1,0.0
2.0,0.0,0.0,0.0,1.0,0.05,0.1,0.0
2.25,0.0,0.0,0.0,1.0,0.05,0.05,0.0
2.5,0.0,0.05,0.05,1.0,0.1,0.1,0.0
