theta,medium_coded_replay_qwen30,medium_comm_baseline_qwen30,medium_direct_replay_qwen30,medium_flip_qwen30,medium_pure_qwen30,medium_scramble_qwen30,medium_surv_sender_only_qwen30
-2.0,1.0,1.0,1.0,0.15,1.0,0.975,1.0
-1.5,1.0,1.0,1.0,0.07500000000000001,0.975,0.975,0.95
-1.0,1.0,0.975,1.0,0.15000000000000002,0.95,0.925,0.95
-0.5,1.0,1.0,1.0,0.35,0.975,0.975,0.975
0.0,0.875,0.875,0.9,0.9,0.825,0.8500000000000001,0.8500000000000001
0.5,0.425,0.35,0.425,0.95,0.375,0.325,0.275
1.0,0.0,0.025,0.0,0.925,0.1,0.125,0.025
1.5,0.025,0.0,0.0,1.0,0.07500000000000001,0.07500000000000001,0.07500000000000001
2.0,0.0,0.025,0.025,1.0,0.025,0.07500000000000001,0.0
2.5,0.025,0.025,0.0,1.0,0.1,0.1,0.025
