theta,small_coded_replay_qwen30,small_comm_baseline_qwen30,small_direct_replay_qwen30,small_flip_qwen30,small_pure_qwen30,small_scramble_qwen30,small_surv_sender_only_qwen30
-2.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
-1.5,1.0,0.9,1.0,0.2,0.9,0.9,0.9
-1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
-0.5,1.0,1.0,1.0,0.30000000000000004,1.0,1.0,1.0
0.0,0.9,0.9,1.0,1.0,0.8,0.8,0.8
0.5,0.2,0.30000000000000004,0.1,1.0,0.30000000000000004,0.4,0.1
1.0,0.0,0.1,0.0,1.0,0.1,0.1,0.0
1.5,0.0,0.0,0.0,0.9,0.1,0.1,0.0
2.0,0.1,0.1,0.1,1.0,0.1,0.1,0.0
2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
