design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model,briefing_mean_direction,briefing_mean_clarity,briefing_mean_coordination,briefing_mean_z_score
instability,pure,normal,0.2,0.5,-0.3,0,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.2974205835917875,0.6860841144398165,0.6546683848459574,-0.8906662290203673
instability,pure,normal,0.2,0.5,-0.3,1,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3062970951122418,0.6314890048168788,0.6530380593133797,-0.9415401254419008
instability,pure,normal,0.2,0.5,-0.3,2,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3197155504999291,0.5617358108350783,0.6397072153959437,-0.8100286449214431
instability,pure,normal,0.2,0.5,-0.3,3,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.2899046711327075,0.6999405982958407,0.6641722578641897,-0.9997112090969285
instability,pure,normal,0.2,0.5,-0.3,5,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3414527562605988,0.5191159212730371,0.6275199878554204,-0.780649680385461
instability,pure,normal,0.2,0.5,-0.3,7,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.2810170478954059,0.697445183798148,0.6736947239520241,-1.1097520385183202
instability,pure,normal,0.2,0.5,-0.3,6,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.285251029432617,0.7048632957028741,0.6667322480112265,-1.007463620671594
instability,pure,normal,0.2,0.5,-0.3,11,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3119912918409099,0.609454211342333,0.6512501891825205,-0.9838670165732332
instability,pure,normal,0.2,0.5,-0.3,4,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3497572769603306,0.598052159041777,0.6185743917205978,-0.675616565781263
instability,pure,normal,0.2,0.5,-0.3,14,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.2742488598003293,0.6554113160673832,0.6770955878783752,-1.1007573472495795
instability,pure,normal,0.2,0.5,-0.3,13,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.269959348220314,0.6823023924877396,0.6827467565893107,-1.1802013043441717
instability,pure,normal,0.2,0.5,-0.3,16,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3145838365105775,0.5616668256680062,0.6446000505131032,-0.8530064591680905
instability,pure,normal,0.2,0.5,-0.3,12,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3283550284404657,0.542691456310424,0.6330743879917742,-0.772651339975065
instability,pure,normal,0.2,0.5,-0.3,15,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.2442433386514959,0.77460313263856,0.6995546386409708,-1.2563058244815748
instability,pure,normal,0.2,0.5,-0.3,18,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.2594674199965074,0.6945658884987873,0.6909121644315561,-1.258014388567263
instability,pure,normal,0.2,0.5,-0.3,21,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3062877488364142,0.5563813831671127,0.6520081784993964,-0.9205696181451984
