design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model,briefing_mean_direction,briefing_mean_clarity,briefing_mean_coordination,briefing_mean_z_score
scramble,pure,scramble,0.2,0.5,-0.3,0,0.36,0.36,9,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4604889386455488,0.5030339652133189,0.5327684774230818,-0.0499679653812817
scramble,pure,scramble,0.2,0.5,-0.3,1,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4271238359139399,0.4794690428352466,0.5563326812170333,-0.1807496125094184
scramble,pure,scramble,0.2,0.5,-0.3,2,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4900947085951227,0.6302961154432004,0.5059219975099536,0.1938909498641547
scramble,pure,scramble,0.2,0.5,-0.3,3,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4924717887130511,0.5256321958025783,0.506721428731105,0.1560841870080314
scramble,pure,scramble,0.2,0.5,-0.3,4,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4239233872021924,0.4955875353684918,0.5605048697673923,-0.2279223928055206
scramble,pure,scramble,0.2,0.5,-0.3,7,0.32,0.32,8,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4736875148830718,0.45821081722489,0.519665477888973,0.0895720844332902
scramble,pure,scramble,0.2,0.5,-0.3,9,0.24,0.24,6,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.5914865292688191,0.5328961781740044,0.4276083943237775,0.7372555255649251
scramble,pure,scramble,0.2,0.5,-0.3,15,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4495808202907864,0.5675735380577935,0.5399370867078485,-0.0760273315845335
scramble,pure,scramble,0.2,0.5,-0.3,16,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4639645858386882,0.4990239696586072,0.5277457907506591,0.022106637927647
scramble,pure,scramble,0.2,0.5,-0.3,18,0.32,0.32,8,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4982455352098844,0.5342090529068863,0.4999977129385007,0.232673777078024
