design,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model,treatment
flip,flip,0.2,0.5,-0.3,0,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,1,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,2,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,3,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,4,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,5,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,6,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,7,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,8,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,9,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,10,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,11,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,12,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,13,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,14,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,15,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,16,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,17,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,18,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,19,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,20,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,21,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,22,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,23,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,24,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,25,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,26,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,27,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,28,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.2,0.5,-0.3,29,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.275,0.5,-0.2249999999999999,0,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.275,0.5,-0.2249999999999999,1,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.275,0.5,-0.2249999999999999,2,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
