design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model
baseline,pure,normal,0.2,0.5,-0.3,0,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,8,0.28,0.28,7,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,4,0.24,0.24,6,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,15,0.36,0.36,9,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,9,0.28,0.28,7,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,10,0.24,0.24,6,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,5,0.28,0.28,7,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,2,0.2,0.2,5,25,25,0,0,0.0,0.0,False,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,14,0.28,0.28,7,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,17,0.28,0.28,7,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,12,0.16,0.16,4,25,25,0,0,0.0,0.0,False,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,7,0.36,0.36,9,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,3,0.28,0.2916666666666667,7,25,24,0,1,0.0,0.04,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,21,0.12,0.12,3,25,25,0,0,0.0,0.0,False,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,16,0.28,0.28,7,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,6,0.28,0.28,7,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,23,0.32,0.32,8,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,1,0.2,0.20833333333333334,5,25,24,0,1,0.0,0.04,False,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,11,0.2,0.2,5,25,25,0,0,0.0,0.0,False,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,13,0.24,0.24,6,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,0,0.28,0.28,7,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,4,0.24,0.24,6,25,25,0,0,0.0,0.0,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,3,0.16,0.16,4,25,25,0,0,0.0,0.0,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,5,0.2,0.2,5,25,25,0,0,0.0,0.0,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,18,0.16,0.16,4,25,25,0,0,0.0,0.0,False,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,27,0.28,0.28,7,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,1,0.24,0.24,6,25,25,0,0,0.0,0.0,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,19,0.16,0.16666666666666666,4,25,24,0,1,0.0,0.04,False,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,20,0.32,0.32,8,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,24,0.36,0.375,9,25,24,0,1,0.0,0.04,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
