arm,country,period,theta,join_valid,n_valid
B_comm,0,0,-1.569,1.0,25
B_comm,0,1,0.2741,0.04,25
B_comm,0,2,-0.6922,0.96,25
B_comm,0,3,-0.0593,0.24,25
B_comm,0,4,0.7879,0.0,25
B_comm,0,5,1.6908,0.0,25
B_comm,0,6,-1.0229,1.0,25
B_comm,0,7,0.2647,0.04,25
B_comm,0,8,1.4514,0.0,24
B_comm,0,9,-0.1589,0.12,25
B_comm,0,10,-2.8514,1.0,25
B_comm,0,11,-0.1776,0.52,25
B_comm,0,12,0.3964,0.0,25
B_comm,0,13,-0.8931,0.92,25
B_comm,0,14,2.0074,0.0,25
B_comm,0,15,-0.3747,0.6667,24
B_comm,0,16,0.2964,0.0,24
B_comm,0,17,-0.2527,0.8696,23
B_comm,0,18,1.7695,0.0,25
B_comm,0,19,-1.4278,1.0,25
B_comm,0,20,-0.7665,0.96,25
B_comm,0,21,-0.9857,1.0,25
B_comm,0,22,0.4612,0.0,25
B_comm,0,23,0.3403,0.0,25
B_comm,0,24,-0.9764,1.0,25
B_comm,0,25,2.9254,0.0,25
B_comm,0,26,-1.3813,1.0,25
B_comm,0,27,0.0947,0.2174,23
B_comm,0,28,-1.5072,1.0,25
B_comm,0,29,0.3689,0.0,25
B_comm,0,30,0.1493,0.0435,23
B_comm,0,31,0.3212,0.04,25
B_comm,0,32,-0.525,0.84,25
B_comm,0,33,-0.8283,0.96,25
B_comm,0,34,-0.1964,0.375,24
B_comm,0,35,1.5852,0.0,25
B_comm,0,36,0.2385,0.0,25
B_comm,0,37,-0.0108,0.1667,24
B_comm,0,38,-0.4231,0.6,25
B_comm,0,39,0.5899,0.0,25
B_comm,0,40,0.2172,0.24,25
B_comm,0,41,-0.9145,1.0,22
B_comm,0,42,1.0257,0.0,25
B_comm,0,43,-0.4644,0.76,25
B_comm,0,44,0.7888,0.0,22
B_comm,0,45,0.0717,0.0833,24
B_comm,0,46,-0.0735,0.25,24
B_comm,0,47,-0.9101,1.0,24
B_comm,0,48,0.9034,0.0,24
B_comm,0,49,0.1931,0.0,24
B_comm,1,0,1.0528,0.0,23
B_comm,1,1,-0.3379,0.3478,23
B_comm,1,2,0.898,0.0,22
B_comm,1,3,-0.6792,0.9167,24
B_comm,1,4,-0.559,0.7083,24
B_comm,1,5,0.4646,0.0,22
B_comm,1,6,-0.641,0.96,25
B_comm,1,7,-0.6729,1.0,24
B_comm,1,8,1.4108,0.0,23
B_comm,1,9,-0.2027,0.5417,24
B_comm,1,10,-0.9689,1.0,25
B_comm,1,11,-0.081,0.04,25
B_comm,1,12,0.3239,0.0,25
B_comm,1,13,-0.9563,1.0,24
B_comm,1,14,-0.2769,0.64,25
B_comm,1,15,-0.5407,0.84,25
B_comm,1,16,-1.0962,1.0,22
B_comm,1,17,-2.1,1.0,21
B_comm,1,18,-0.6001,0.96,25
B_comm,1,19,0.7738,0.0,25
B_comm,1,20,1.0027,0.0,24
B_comm,1,21,-0.6691,0.8261,23
B_comm,1,22,-1.4862,1.0,23
B_comm,1,23,0.14,0.0,23
B_comm,1,24,-1.0003,1.0,23
B_comm,1,25,-0.0114,0.0476,21
B_comm,1,26,-1.1275,1.0,23
B_comm,1,27,1.1934,0.0,23
B_comm,1,28,1.6177,0.0,25
B_comm,1,29,0.6132,0.0,25
B_comm,1,30,-0.1068,0.44,25
B_comm,1,31,0.7829,0.0,25
B_comm,1,32,-0.5723,0.7826,23
B_comm,1,33,-0.0971,0.1364,22
B_comm,1,34,0.2272,0.0,24
B_comm,1,35,-0.5516,0.9583,24
B_comm,1,36,1.9899,0.0,25
B_comm,1,37,-0.5172,0.92,25
B_comm,1,38,-0.14,0.24,25
B_comm,1,39,-0.5151,0.8261,23
B_comm,1,40,2.2352,0.0,25
B_comm,1,41,-1.1901,1.0,25
B_comm,1,42,-1.2356,1.0,23
B_comm,1,43,-0.9574,1.0,25
B_comm,1,44,-0.324,0.68,25
B_comm,1,45,0.7002,0.0,24
B_comm,1,46,1.3117,0.0,22
B_comm,1,47,0.8041,0.0,24
B_comm,1,48,0.0936,0.0,23
B_comm,1,49,-2.2629,1.0,21
B_comm,2,0,0.8765,0.0,24
B_comm,2,1,-1.7461,0.9167,24
B_comm,2,2,0.0191,0.8571,21
B_comm,2,3,0.3056,0.625,24
B_comm,2,4,1.4089,0.0,22
B_comm,2,5,0.3466,0.381,21
B_comm,2,6,0.2651,0.6364,22
B_comm,2,7,0.2947,0.8095,21
B_comm,2,8,2.0811,0.0,25
B_comm,2,9,0.3496,0.5909,22
B_comm,2,10,-1.3829,1.0,23
B_comm,2,11,1.0976,0.0,25
B_comm,2,12,1.7772,0.0,23
B_comm,2,13,0.4734,0.125,24
B_comm,2,14,2.6504,0.0,24
B_comm,2,15,0.7673,0.0455,22
B_comm,2,16,2.1412,0.0,24
B_comm,2,17,1.3233,0.0,24
B_comm,2,18,0.7587,0.0,24
B_comm,2,19,-0.9575,1.0,21
B_comm,2,20,0.9142,0.0,23
B_comm,2,21,1.1108,0.0,24
B_comm,2,22,0.002,0.9,20
B_comm,2,23,0.5487,0.0435,23
B_comm,2,24,1.1989,0.0,25
B_comm,2,25,-1.7732,1.0,25
B_comm,2,26,0.4987,0.12,25
B_comm,2,27,1.8253,0.0,25
B_comm,2,28,1.0215,0.0,23
B_comm,2,29,0.8838,0.0,24
B_comm,2,30,2.0824,0.0,22
B_comm,2,31,0.0391,1.0,24
B_comm,2,32,-1.3404,1.0,25
B_comm,2,33,-0.5939,1.0,24
B_comm,2,34,1.3643,0.0,22
B_comm,2,35,2.2002,0.0,25
B_comm,2,36,-0.0125,0.92,25
B_comm,2,37,2.0355,0.0,25
B_comm,2,38,-1.1303,0.9545,22
B_comm,2,39,1.8196,0.0,25
B_comm,2,40,1.2409,0.0,25
B_comm,2,41,-0.7634,1.0,25
B_comm,2,42,1.2428,0.0,23
B_comm,2,43,0.4513,0.5652,23
B_comm,2,44,0.7212,0.0417,24
B_comm,2,45,0.9389,0.0,21
B_comm,2,46,-1.2738,1.0,22
B_comm,2,47,0.0709,0.7727,22
B_comm,2,48,-0.5698,1.0,24
B_comm,2,49,-0.3255,1.0,24
B_comm,3,0,-1.8286,1.0,24
B_comm,3,1,-2.9643,0.92,25
B_comm,3,2,-0.3278,0.125,24
B_comm,3,3,-1.5325,1.0,22
B_comm,3,4,-1.0241,0.9583,24
B_comm,3,5,-0.5793,0.5714,21
B_comm,3,6,0.1741,0.0,23
B_comm,3,7,0.0217,0.0,24
B_comm,3,8,-1.2671,1.0,22
B_comm,3,9,-0.0632,0.0,24
B_comm,3,10,-0.4152,0.4583,24
B_comm,3,11,-2.127,0.9565,23
B_comm,3,12,0.6675,0.0,24
B_comm,3,13,0.1476,0.0,25
B_comm,3,14,-0.4094,0.4,25
B_comm,3,15,-0.9938,0.8571,21
B_comm,3,16,0.7016,0.0,25
B_comm,3,17,-1.5142,1.0,25
B_comm,3,18,0.8555,0.0,25
B_comm,3,19,-0.1588,0.0417,24
B_comm,3,20,1.1935,0.0,24
B_comm,3,21,-1.2374,1.0,25
B_comm,3,22,-0.2841,0.08,25
B_comm,3,23,-1.7816,0.9565,23
B_comm,3,24,0.2958,0.0,22
B_comm,3,25,0.1905,0.0,25
B_comm,3,26,-2.5309,1.0,23
B_comm,3,27,-0.5173,0.5,22
B_comm,3,28,-0.3871,0.4348,23
B_comm,3,29,-0.288,0.2609,23
B_comm,3,30,0.2334,0.0,24
B_comm,3,31,-2.1442,1.0,23
B_comm,3,32,0.3384,0.0,25
B_comm,3,33,-0.7519,0.84,25
B_comm,3,34,-0.0566,0.0,25
B_comm,3,35,-1.4156,0.9565,23
B_comm,3,36,-0.8645,0.913,23
B_comm,3,37,1.4697,0.0,24
B_comm,3,38,-1.4889,0.96,25
B_comm,3,39,-1.2424,1.0,24
B_comm,3,40,0.5848,0.0,24
B_comm,3,41,1.0079,0.0,21
B_comm,3,42,0.6417,0.0,22
B_comm,3,43,-0.2435,0.1304,23
B_comm,3,44,-0.35,0.3158,19
B_comm,3,45,-0.7755,0.92,25
B_comm,3,46,-0.7057,0.92,25
B_comm,3,47,-1.2124,1.0,22
B_comm,3,48,0.4385,0.0,25
B_comm,3,49,-0.7291,0.9565,23
B_comm,4,0,0.954,0.0,25
B_comm,4,1,1.6421,0.0,24
B_comm,4,2,0.4226,0.16,25
B_comm,4,3,-0.9288,1.0,20
B_comm,4,4,-0.2979,0.8333,24
B_comm,4,5,-1.3191,1.0,24
B_comm,4,6,1.6025,0.0,22
B_comm,4,7,-0.224,0.96,25
B_comm,4,8,1.0446,0.0,23
B_comm,4,9,0.6132,0.16,25
B_comm,4,10,-0.0231,0.72,25
B_comm,4,11,0.2952,0.28,25
B_comm,4,12,1.1641,0.0,25
B_comm,4,13,-1.2982,1.0,24
B_comm,4,14,-0.1746,0.76,25
B_comm,4,15,1.373,0.0,25
B_comm,4,16,1.1374,0.0,25
B_comm,4,17,1.3887,0.0,25
B_comm,4,18,-0.6533,1.0,22
B_comm,4,19,0.4888,0.0909,22
B_comm,4,20,1.2509,0.0,21
B_comm,4,21,0.6513,0.0,25
