design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model,theta_star_target
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,4,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,1,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,8,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,9,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,13,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,12,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,5,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,7,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,16,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,17,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,3,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,20,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,23,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,22,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,11,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,18,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,27,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,14,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,24,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,2,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,15,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,0,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,25,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,7,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,2,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,10,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,14,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,29,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,15,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,21,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,1,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,28,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,18,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,5,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,20,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,24,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,6,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,22,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,25,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,11,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,8,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,26,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,29,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,13,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,0,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,28,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
