design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model
baseline,pure,normal,0.45,0.75,-0.3,0,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.9529828064238726,3.0,1.0,mistralai/mistral-small-creative
baseline,pure,normal,0.45,0.75,-0.3,2,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.9529828064238726,3.0,1.0,mistralai/mistral-small-creative
baseline,pure,normal,0.45,0.75,-0.3,4,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.9529828064238726,3.0,1.0,mistralai/mistral-small-creative
baseline,pure,normal,0.45,0.75,-0.3,8,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.9529828064238726,3.0,1.0,mistralai/mistral-small-creative
baseline,pure,normal,0.45,0.75,-0.3,11,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.9529828064238726,3.0,1.0,mistralai/mistral-small-creative
baseline,pure,normal,0.45,0.75,-0.3,6,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.9529828064238726,3.0,1.0,mistralai/mistral-small-creative
baseline,pure,normal,0.45,0.75,-0.3,15,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.9529828064238726,3.0,1.0,mistralai/mistral-small-creative
baseline,pure,normal,0.45,0.75,-0.3,14,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.9529828064238726,3.0,1.0,mistralai/mistral-small-creative
baseline,pure,normal,0.45,0.75,-0.3,17,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.9529828064238726,3.0,1.0,mistralai/mistral-small-creative
baseline,pure,normal,0.45,0.75,-0.3,20,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.9529828064238726,3.0,1.0,mistralai/mistral-small-creative
baseline,pure,normal,0.45,0.75,-0.3,16,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.9529828064238726,3.0,1.0,mistralai/mistral-small-creative
