design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model,briefing_mean_direction,briefing_mean_clarity,briefing_mean_coordination,briefing_mean_z_score
ck_low_coord,pure,normal,0.2,0.5,-0.3,17,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3541701576828477,0.5716448042074599,0.6156380922234781,-0.6470933076842031
ck_low_coord,pure,normal,0.2,0.5,-0.3,18,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.2651325599152105,0.6894319184691787,0.6890249444642572,-1.258014388567263
ck_low_coord,pure,normal,0.2,0.5,-0.3,19,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.2406139459083337,0.7709723118198558,0.7091451319936705,-1.3913363064606947
ck_low_coord,pure,normal,0.2,0.5,-0.3,4,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3533511974521454,0.5930792079652337,0.6173663628533267,-0.675616565781263
ck_low_coord,pure,normal,0.2,0.5,-0.3,20,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3728621055523548,0.4848295073389691,0.599391996632383,-0.5144677949332026
ck_low_coord,pure,normal,0.2,0.5,-0.3,5,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3449090032334162,0.5142712730051131,0.626308759691161,-0.780649680385461
ck_low_coord,pure,normal,0.2,0.5,-0.3,1,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3109229354179088,0.6263966055423449,0.6514894109933338,-0.9415401254419008
ck_low_coord,pure,normal,0.2,0.5,-0.3,2,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3244612306322081,0.5565302078913837,0.6382069408534683,-0.8100286449214431
ck_low_coord,pure,normal,0.2,0.5,-0.3,16,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.319306474168871,0.5569493683551027,0.6430738386876463,-0.8530064591680905
ck_low_coord,pure,normal,0.2,0.5,-0.3,21,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3110811565638689,0.5521527733292944,0.6504364776976714,-0.9205696181451984
ck_low_coord,pure,normal,0.2,0.5,-0.3,22,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.259764487314337,0.7245191886024245,0.6901906149385727,-1.2028910935100638
