design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model,briefing_mean_direction,briefing_mean_clarity,briefing_mean_coordination,briefing_mean_z_score
hard_scramble,pure,normal,0.2,0.5,-0.3,3,0.24,0.24,6,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.479226588477045,0.3856172578810528,0.5156167423300153,0.1090396945061736
hard_scramble,pure,normal,0.2,0.5,-0.3,2,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4124410117900371,0.3647157122546593,0.5683780361007045,-0.2729547303461406
hard_scramble,pure,normal,0.2,0.5,-0.3,0,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4201196420155774,0.5687454289423772,0.5641383872781567,-0.2629613945847884
hard_scramble,pure,normal,0.2,0.5,-0.3,6,0.36,0.36,9,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.5783036621669004,0.5263136062968454,0.4360468395739524,0.7027271835874578
hard_scramble,pure,normal,0.2,0.5,-0.3,5,0.24,0.24,6,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4871199401931999,0.3385653236960037,0.5101795125929017,0.1397278965016067
hard_scramble,pure,normal,0.2,0.5,-0.3,8,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4147638002349289,0.5250362815642147,0.567406310183059,-0.2728639582681444
hard_scramble,pure,normal,0.2,0.5,-0.3,12,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4245552685845752,0.4122321990576892,0.5601320748186323,-0.2264307080154727
hard_scramble,pure,normal,0.2,0.5,-0.3,10,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4666244331094332,0.4429624026337748,0.5269520777331309,0.0133579732698355
hard_scramble,pure,normal,0.2,0.5,-0.3,9,0.32,0.32,8,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4773331849499352,0.3860580911292586,0.5173914156170702,0.0931958274566274
hard_scramble,pure,normal,0.2,0.5,-0.3,17,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4498469674961629,0.4914192191330802,0.538363701531943,-0.0480384685025271
hard_scramble,pure,normal,0.2,0.5,-0.3,19,0.4,0.4,10,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4765267216008079,0.5373598238581943,0.5187113006225532,0.0769118630279229
hard_scramble,pure,normal,0.2,0.5,-0.3,21,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3980163527879414,0.5092129547008809,0.581971174305035,-0.3930563763488087
hard_scramble,pure,normal,0.2,0.5,-0.3,20,0.32,0.32,8,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.475530431456969,0.3768917945154333,0.5214538881882242,0.0300494975446004
hard_scramble,pure,normal,0.2,0.5,-0.3,23,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4351999226066114,0.3352860992833161,0.5509668100107228,-0.152419674749637
hard_scramble,pure,normal,0.2,0.5,-0.3,27,0.32,0.32,8,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4701356817772372,0.3911632601548582,0.5243703394455721,0.027414456457162
hard_scramble,pure,normal,0.2,0.5,-0.3,11,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3903930890458306,0.4607382614082732,0.5874032860034253,-0.4260095975058861
hard_scramble,pure,normal,0.2,0.5,-0.3,4,0.4,0.4,10,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.5178290462310184,0.5229023959507486,0.4848910858762762,0.3366670215635335
hard_scramble,pure,normal,0.2,0.5,-0.3,7,0.4,0.4,10,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4587423187874917,0.427924815314714,0.5345880195381824,-0.0647658276981112
hard_scramble,pure,normal,0.275,0.5,-0.2249999999999999,0,0.32,0.32,8,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.4987131481356492,0.3496753795769886,0.5021651305773841,0.1853428204362183
hard_scramble,pure,normal,0.275,0.5,-0.2249999999999999,1,0.28,0.28,7,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.4962211802823793,0.4366028554038915,0.5027658636742228,0.1965236055008239
hard_scramble,pure,normal,0.2,0.5,-0.3,14,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4610300841529294,0.3449985260522362,0.5316642911765164,-0.0237961167163889
hard_scramble,pure,normal,0.2,0.5,-0.3,13,0.4,0.4,10,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.436057634224539,0.5507523885111939,0.550391245270025,-0.1484241000681955
hard_scramble,pure,normal,0.2,0.5,-0.3,26,0.36,0.36,9,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4708484392759983,0.4714269201060277,0.5237537128479938,0.0320905043886076
hard_scramble,pure,normal,0.2,0.5,-0.3,18,0.36,0.36,9,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4385277482424361,0.3888926768869334,0.5480375083787574,-0.1263752416307715
hard_scramble,pure,normal,0.275,0.5,-0.2249999999999999,3,0.36,0.36,9,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.5277608025537643,0.3876667312909044,0.4785658772064326,0.3613680151261869
hard_scramble,pure,normal,0.275,0.5,-0.2249999999999999,5,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.4803315406420938,0.3960843530445432,0.5155107680439014,0.1018382816731366
hard_scramble,pure,normal,0.2,0.5,-0.3,1,0.24,0.24,6,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.5586403576715138,0.4116285156913821,0.4545415765217913,0.5311544264241135
hard_scramble,pure,normal,0.2,0.5,-0.3,22,0.4,0.4,10,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4844339681748748,0.4565024473053842,0.5124534440848812,0.1212245615841215
hard_scramble,pure,normal,0.2,0.5,-0.3,16,0.36,0.36,9,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4471198176226515,0.50436116696326,0.541773347474011,-0.0871906394603492
hard_scramble,pure,normal,0.2,0.5,-0.3,15,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4455170759898333,0.442991161498022,0.5437395913152422,-0.1106405041233382
hard_scramble,pure,normal,0.275,0.5,-0.2249999999999999,9,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.428807911321339,0.4370562698189539,0.5557687988492281,-0.186469760099784
hard_scramble,pure,normal,0.2,0.5,-0.3,29,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3950736933119735,0.5567167661702406,0.5829946761292493,-0.3853771407733568
hard_scramble,pure,normal,0.2,0.5,-0.3,24,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4589858864038387,0.3878121076384799,0.5338359265362471,-0.0498280502626421
hard_scramble,pure,normal,0.2,0.5,-0.3,28,0.4,0.4,10,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.4637540942566071,0.4420645081196486,0.5268711513626364,0.0502743202291518
hard_scramble,pure,normal,0.275,0.5,-0.2249999999999999,2,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.4336755764445174,0.505390638383628,0.5504089405592674,-0.1282880045341358
hard_scramble,pure,normal,0.275,0.5,-0.2249999999999999,4,0.36,0.36,9,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.4656021391431613,0.4121361088514035,0.5292977607802175,-0.0252406157246506
hard_scramble,pure,normal,0.275,0.5,-0.2249999999999999,21,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.4555649357508672,0.3431067349254428,0.5347706357866919,-0.0340014044615105
hard_scramble,pure,normal,0.275,0.5,-0.2249999999999999,23,0.4,0.4,10,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.4261464257319244,0.4866759445453621,0.5599092183502803,-0.2364841741353046
hard_scramble,pure,normal,0.275,0.5,-0.2249999999999999,20,0.36,0.36,9,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.4972319387108176,0.3595675909024547,0.5021554344554393,0.1978281801569159
hard_scramble,pure,normal,0.275,0.5,-0.2249999999999999,6,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.4308235597456737,0.6010912771875645,0.5550679378034755,-0.1886230436851205
hard_scramble,pure,normal,0.275,0.5,-0.2249999999999999,24,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.4476289653830004,0.3537168582359034,0.5395743937202062,-0.0504346781066825
hard_scramble,pure,normal,0.275,0.5,-0.2249999999999999,7,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3872347961142268,0.5414327540137109,0.5886420684909213,-0.420071948603924
hard_scramble,pure,normal,0.275,0.5,-0.2249999999999999,26,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.4448965917620851,0.4433744925029782,0.5426156761400085,-0.0839943086713741
hard_scramble,pure,normal,0.275,0.5,-0.2249999999999999,8,0.32,0.32,8,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.484088621737862,0.4267652522645153,0.5135791156712487,0.1027711893420617
hard_scramble,pure,normal,0.275,0.5,-0.2249999999999999,27,0.4,0.4,10,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.4813773807500374,0.4630730786215356,0.5147112295331815,0.1070937009458461
hard_scramble,pure,normal,0.275,0.5,-0.2249999999999999,28,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.4505099137862974,0.3981470780468294,0.5404832049026314,-0.0951061277542759
hard_scramble,pure,normal,0.35,0.5,-0.1499999999999999,1,0.36,0.36,9,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,mistralai/mistral-small-creative,0.4174862895863693,0.3548335560562565,0.5642990758402417,-0.2394985841068912
hard_scramble,pure,normal,0.275,0.5,-0.2249999999999999,15,0.36,0.36,9,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.4516068791262892,0.382510139674701,0.5375737095496069,-0.0504206567822068
