design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model,briefing_mean_direction,briefing_mean_clarity,briefing_mean_coordination,briefing_mean_z_score
stability_clarity,pure,normal,0.2,0.5,-0.3,4,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3533511974521454,0.5757437499454205,0.6185743917205978,-0.675616565781263
stability_clarity,pure,normal,0.2,0.5,-0.3,0,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3031169473024842,0.6522703750069228,0.6546683848459574,-0.8906662290203673
stability_clarity,pure,normal,0.2,0.5,-0.3,2,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3244612306322081,0.5382440463311137,0.6397072153959437,-0.8100286449214431
stability_clarity,pure,normal,0.2,0.5,-0.3,1,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3109229354179088,0.6084828947244821,0.6530380593133797,-0.9415401254419008
stability_clarity,pure,normal,0.2,0.5,-0.3,6,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.29083621796568,0.6772899548918546,0.6667322480112265,-1.007463620671594
stability_clarity,pure,normal,0.2,0.5,-0.3,5,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3449090032334162,0.497866287900161,0.6275199878554204,-0.780649680385461
stability_clarity,pure,normal,0.2,0.5,-0.3,7,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.2861561883324728,0.6725314144527356,0.6736947239520241,-1.1097520385183202
stability_clarity,pure,normal,0.2,0.5,-0.3,9,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.2972443454687057,0.6085858133313368,0.661246475646685,-0.9635136388086591
stability_clarity,pure,normal,0.2,0.5,-0.3,8,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.330277670479056,0.5888787318081034,0.6350383974331424,-0.7757044139657897
stability_clarity,pure,normal,0.2,0.5,-0.3,10,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3300101538885532,0.5326479219729526,0.6333678653606638,-0.735881925646532
stability_clarity,pure,normal,0.2,0.5,-0.3,11,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.31612276605072,0.5871000610300792,0.6512501891825205,-0.9838670165732332
stability_clarity,pure,normal,0.2,0.5,-0.3,3,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.2951950090798761,0.6735640200843059,0.6641722578641897,-0.9997112090969285
stability_clarity,pure,normal,0.2,0.5,-0.3,12,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3329056734497211,0.5153900981376531,0.6330743879917742,-0.772651339975065
stability_clarity,pure,normal,0.2,0.5,-0.3,15,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.2507260787351111,0.7477347308395362,0.6995546386409708,-1.2563058244815748
stability_clarity,pure,normal,0.2,0.5,-0.3,17,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3541701576828477,0.5521921142222126,0.6168697848180855,-0.6470933076842031
stability_clarity,pure,normal,0.2,0.5,-0.3,16,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.319306474168871,0.5405216229013431,0.6446000505131032,-0.8530064591680905
stability_clarity,pure,normal,0.2,0.5,-0.3,18,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.2651325599152105,0.6713715164234272,0.6909121644315561,-1.258014388567263
stability_clarity,pure,normal,0.2,0.5,-0.3,14,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.2798126258698049,0.6372413846585349,0.6770955878783752,-1.1007573472495795
stability_clarity,pure,normal,0.2,0.5,-0.3,19,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.2406139459083337,0.7577169459601591,0.7112408703314815,-1.3913363064606947
stability_clarity,pure,normal,0.2,0.5,-0.3,20,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3728621055523548,0.4627923576364112,0.6004958823797698,-0.5144677949332026
stability_clarity,pure,normal,0.2,0.5,-0.3,22,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.259764487314337,0.7060648138926108,0.6922218251495407,-1.2028910935100638
stability_clarity,pure,normal,0.2,0.5,-0.3,26,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3125347721945078,0.5819151907990537,0.6480707314591926,-0.8539195598587884
stability_clarity,pure,normal,0.2,0.5,-0.3,24,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.2865190807700905,0.6657180449791205,0.6714339555986535,-1.0620133780732406
stability_clarity,pure,normal,0.2,0.5,-0.3,21,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3110811565638689,0.5373494621534314,0.6520081784993964,-0.9205696181451984
stability_clarity,pure,normal,0.2,0.5,-0.3,27,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3080682146356458,0.5768727755832993,0.6513368156321104,-0.8759031486048434
stability_clarity,pure,normal,0.275,0.5,-0.2249999999999999,0,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3437693962020175,0.4281867656200108,0.6215021995654368,-0.6406662290203673
