design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model,briefing_mean_direction,briefing_mean_clarity,briefing_mean_coordination,briefing_mean_z_score
stability,pure,normal,0.2,0.5,-0.3,1,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3126989801654026,0.6084828947244821,0.6530380593133797,-0.9415401254419008
stability,pure,normal,0.2,0.5,-0.3,2,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.326273394199868,0.5382440463311137,0.6397072153959437,-0.8100286449214431
stability,pure,normal,0.2,0.5,-0.3,3,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.297221439563188,0.6735640200843059,0.6641722578641897,-0.9997112090969285
stability,pure,normal,0.2,0.5,-0.3,5,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3462407164593635,0.497866287900161,0.6275199878554204,-0.780649680385461
stability,pure,normal,0.2,0.5,-0.3,7,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.2881298746765035,0.6725314144527356,0.6736947239520241,-1.1097520385183202
stability,pure,normal,0.2,0.5,-0.3,6,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.2929715011816461,0.6772899548918546,0.6667322480112265,-1.007463620671594
stability,pure,normal,0.2,0.5,-0.3,9,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.2993420306935485,0.6085858133313368,0.661246475646685,-0.9635136388086591
stability,pure,normal,0.2,0.5,-0.3,8,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3320350694357183,0.5888787318081034,0.6350383974331424,-0.7757044139657897
stability,pure,normal,0.2,0.5,-0.3,11,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3177117217704166,0.5871000610300792,0.6512501891825205,-0.9838670165732332
stability,pure,normal,0.2,0.5,-0.3,12,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3346396318152779,0.5153900981376531,0.6330743879917742,-0.772651339975065
stability,pure,normal,0.2,0.5,-0.3,10,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3318933434812787,0.5326479219729526,0.6333678653606638,-0.735881925646532
stability,pure,normal,0.2,0.5,-0.3,17,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3556090163220136,0.5521921142222126,0.6168697848180855,-0.6470933076842031
