design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model
flip,pure,flip,0.2,0.5,-0.3,0,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,7,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,12,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,2,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,11,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,1,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,10,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,16,0.44,0.4583333333333333,11,25,24,0,1,0.0,0.04,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,13,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,8,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,15,0.4,0.4166666666666667,10,25,24,0,1,0.0,0.04,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,3,0.44,0.4782608695652174,11,25,23,0,2,0.0,0.08,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,4,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,24,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,9,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,22,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,21,0.36,0.36,9,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,5,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,17,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,26,0.6,0.625,15,25,24,0,1,0.0,0.04,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,28,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,4,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,20,0.4,0.43478260869565216,10,25,23,0,2,0.0,0.08,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,27,0.48,0.5,12,25,24,0,1,0.0,0.04,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,14,0.56,0.5833333333333334,14,25,24,0,1,0.0,0.04,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,6,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,25,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,23,0.32,0.3333333333333333,8,25,24,0,1,0.0,0.04,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,18,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,9,0.52,0.5416666666666666,13,25,24,0,1,0.0,0.04,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,7,0.64,0.6666666666666666,16,25,24,0,1,0.0,0.04,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,6,0.56,0.6086956521739131,14,25,23,0,2,0.0,0.08,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,14,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,1,0.4,0.4166666666666667,10,25,24,0,1,0.0,0.04,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,29,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,15,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
