country,period,join_valid
0,0,1.0
0,1,0.08
0,2,0.92
0,3,0.2
0,4,0.0
0,5,0.0
0,6,0.96
0,7,0.08
0,8,0.0
0,9,0.24
0,10,1.0
0,11,0.44
0,12,0.0
0,13,0.96
0,14,0.0
0,15,0.68
0,16,0.0
0,17,0.68
0,18,0.0
0,19,1.0
0,20,0.92
0,21,0.96
0,22,0.0
0,23,0.0
0,24,1.0
0,25,0.0
0,26,1.0
0,27,0.36
0,28,1.0
0,29,0.04
0,30,0.0
0,31,0.08
0,32,0.92
0,33,0.92
0,34,0.44
0,35,0.0
0,36,0.0
0,37,0.2
0,38,0.76
0,39,0.0
0,40,0.16
0,41,0.92
0,42,0.0
0,43,0.88
0,44,0.0
0,45,0.04
0,46,0.44
0,47,0.96
0,48,0.0
0,49,0.0
1,0,0.0
1,1,0.48
1,2,0.0
1,3,0.88
1,4,0.8
1,5,0.0
1,6,0.84
1,7,1.0
1,8,0.0
1,9,0.6
1,10,0.96
1,11,0.08
1,12,0.0
1,13,0.96
1,14,0.72
1,15,0.96
1,16,1.0
1,17,1.0
1,18,0.8
1,19,0.0
1,20,0.0
1,21,0.84
1,22,1.0
1,23,0.08
1,24,1.0
1,25,0.0
1,26,1.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,0.4
1,31,0.0
1,32,0.76
1,33,0.2
1,34,0.0
1,35,0.68
1,36,0.0
1,37,0.92
1,38,0.48
1,39,0.76
1,40,0.0
1,41,0.96
1,42,0.96
1,43,0.96
1,44,0.56
1,45,0.0
1,46,0.0
1,47,0.0
1,48,0.08
1,49,1.0
2,0,0.04
2,1,0.92
2,2,0.92
2,3,0.76
2,4,0.0
2,5,0.36
2,6,0.64
2,7,0.76
2,8,0.0
2,9,0.64
2,10,0.96
2,11,0.0
2,12,0.0
2,13,0.36
2,14,0.0
2,15,0.24
2,16,0.0
2,17,0.0
2,18,0.08
2,19,1.0
2,20,0.0
2,21,0.0
2,22,0.88
2,23,0.12
2,24,0.0
2,25,0.96
2,26,0.08
2,27,0.0
2,28,0.0
2,29,0.0
2,30,0.0
2,31,0.92
2,32,1.0
2,33,1.0
2,34,0.0
2,35,0.0
2,36,0.8
2,37,0.0
2,38,1.0
2,39,0.0
2,40,0.0
