arm,arm_label,seed,learning_rule,receiver_observation,hidden_cost,residual_causal_cost,active_monitor_cost,message_cost,welfare,shuffled_welfare,message_value,join_rate,success_rate,visible_norm,hidden_norm,hidden_norm_share,hidden_causal_influence,hidden_shuffle_causal_influence,hidden_action_flip_rate,hidden_probe_gain,causal_strategic_opacity_gap,probe_strategic_opacity_gap,live_monitor_content_accuracy,live_monitor_true_probability,full_content_balanced_accuracy,auditor_content_balanced_accuracy,visible_content_balanced_accuracy,hidden_content_balanced_accuracy
no_comm,No Messages,0,ppo,none,0.0,0.0,0.0,0.0,0.40174800157546997,0.40174800157546997,0.0,0.7842999696731567,0.5667999982833862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,1,ppo,none,0.0,0.0,0.0,0.0,0.4014279544353485,0.4014279544353485,0.0,0.7622399926185608,0.557699978351593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,2,ppo,none,0.0,0.0,0.0,0.0,0.3835749924182892,0.3835749924182892,0.0,0.751479983329773,0.5425000190734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,3,ppo,none,0.0,0.0,0.0,0.0,0.4015509784221649,0.4015509784221649,0.0,0.7752599716186523,0.5627999901771545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
visible_bottleneck,Public Only,0,ppo,visible,0.04,0.0,0.0,0.002,0.5381510257720947,0.27256301045417786,0.26558801531791687,0.6196799874305725,0.5730000138282776,2.917018413543701,0.3204200565814972,0.09897332707271682,5.676296321865948e-09,1.7372927985093156e-08,0.0,0.05312511943458964,1.5075562744807686e-09,0.014109395034159956,,,0.9814448819896461,0.9283197625550564,0.9282740568957469,0.8696280600254852
visible_bottleneck,Public Only,1,ppo,visible,0.04,0.0,0.0,0.002,0.5330629348754883,0.2826089859008789,0.2504539489746094,0.6224600076675415,0.5713000297546387,2.955233097076416,0.31149861216545105,0.09535481940074678,7.02365765548052e-09,1.8163868631404512e-08,0.0,0.01934628310846387,1.7591027960608426e-09,0.004845353002495557,,,0.9581957303785433,0.9388494472700795,0.9394832792565758,0.9495031332429011
visible_bottleneck,Public Only,2,ppo,visible,0.04,0.0,0.0,0.002,0.5455849766731262,0.2833539843559265,0.2622309923171997,0.6396799683570862,0.5859000086784363,3.035151481628418,0.35556620359420776,0.10486458520089449,5.5807816146113964e-09,1.5597397151623227e-08,0.0,0.0009454645861574074,1.4634539007051305e-09,0.00024793011662882747,,,0.979683009646617,0.9787375450604596,0.9780348452749902,0.9118148177546769
visible_bottleneck,Public Only,3,ppo,visible,0.04,0.0,0.0,0.002,0.5315089821815491,0.2672260105609894,0.2642829716205597,0.6224600076675415,0.5705999732017517,2.894697666168213,0.3296372890472412,0.10223419515210212,5.4225872681001874e-09,1.6649940093316218e-08,0.0,0.01579248023189539,1.4330974770853301e-09,0.004173683604944259,,,0.9728426330685963,0.9570501528367009,0.9572921698239852,0.9612787182323258
asymmetric_free,Private Allowed,0,ppo,full,0.0,0.0,0.0,0.002,0.5300909876823425,0.2706749737262726,0.25941601395606995,0.624239981174469,0.5706999897956848,0.8108384013175964,2.63736629486084,0.7648520106082364,0.09785778820514679,0.25668102502822876,0.2563000023365021,0.0019761038093988326,0.025385877350736497,0.0005126329733976505,,,0.9841378702015254,0.9821617663921266,0.9845161565676267,0.984749166461254
asymmetric_free,Private Allowed,1,ppo,full,0.0,0.0,0.0,0.002,0.5433669686317444,0.28056800365448,0.2627989649772644,0.6229999661445618,0.5776000022888184,1.724291205406189,2.389728307723999,0.5808743249994343,0.043550044298172,0.12187498062849045,0.12167999893426895,0.044889562964167906,0.011444906566273616,0.011796930685265068,,,0.9770303845736134,0.9321408216094454,0.9340806013249109,0.9740250657330596
