Learning rule,Design,Payoff,Message value,Hidden use,Offline probe,Live monitor
PPO,Public Only,0.5370769798755646,0.2606389820575714,5.925830715014513e-09,0.9507392269305741,
PPO,Private Allowed,0.5354482233524323,0.2684282287955284,0.08069177158176899,0.9437052429552596,
PPO,Public Monitored,0.5365887433290482,0.25891099870204926,6.264797680621825e-09,0.8412567712937462,0.7696699947118759
PPO,Private Monitored,0.5309872627258301,0.26685477793216705,0.13799240812659264,0.8401879865098528,0.5241049975156784
PPO,Monitored + Penalty,0.531349241733551,0.26753299683332443,0.015871419804170728,0.8023630591620109,0.6168899983167648
REINFORCE,Public Only,0.5332403381665548,0.25190367301305133,6.17296776657857e-09,0.9203812377456444,
REINFORCE,Private Allowed,0.5360596577326456,0.26377466320991516,0.0826790618399779,0.9261406666325697,
REINFORCE,Public Monitored,0.5267683267593384,0.25688865780830383,1.1077271544479572e-08,0.9007586750315495,0.7335466543833414
REINFORCE,Private Monitored,0.5328676501909891,0.2597149908542633,0.1321634774406751,0.7696465477723082,0.36070000131924945
REINFORCE,Monitored + Penalty,0.5368196566899618,0.260194331407547,0.03330029516170422,0.8754481992966031,0.719980001449585
